shortnam	logmort0	risk	loggdp	campaign	source0	slave	latitude	neoeuro	asia	africa	other	edes1975	campaignsj	campaignsj2	mortnaval1	logmortnaval1	mortnaval2	logmortnaval2	mortjam	logmortjam	logmortcap250	logmortjam250	wandcafrica	malfal94	wacacontested	mortnaval2250	logmortnaval2250	mortnaval1250	logmortnaval1250
AGO	5.634789467	5.360000134	7.769999981	1	0	0	0.136700004	0	0	1	0	0	1	1	280	5.634789467	280	5.634789467	280	5.634789467	5.52146101	5.52146101	1	0.949999988	1	250	5.52146101	250	5.52146101
ARG	4.232656002	6.389999866	9.130000114	1	0	0	0.377799988	0	0	0	0	90	1	1	15.06999969	2.712706089	30.5	3.417726755	56.5	4.034240723	4.232656002	4.034240723	0	0	0	30.5	3.417726755	15.06999969	2.712706089
AUS	2.145931244	9.319999695	9.899999619	0	0	0	0.300000012	1	0	0	1	99	0	1	8.550000191	2.145931244	8.550000191	2.145931244	8.550000191	2.145931244	2.145931244	2.145931244	0	0	0	8.550000191	2.145931244	8.550000191	2.145931244
BFA	5.634789467	4.449999809	6.849999905	1	0	0	0.144400001	0	0	1	0	0	1	1	280	5.634789467	280	5.634789467	280	5.634789467	5.52146101	5.52146101	1	0.949999988	1	250	5.52146101	250	5.52146101
BGD	4.268437862	5.139999866	6.880000114	1	1	0	0.2667	0	1	0	0	0	1	1	71.41000366	4.268437862	71.41000366	4.268437862	71.41000366	4.268437862	4.268437862	4.268437862	0	0.120080002	0	71.41000366	4.268437862	71.41000366	4.268437862
BHS	4.442651272	7.5	9.289999962	0	0	0	0.268299997	0	0	0	0	10	0	0	85	4.442651272	85	4.442651272	85	4.442651272	4.442651272	4.442651272	0	NA	0	85	4.442651272	85	4.442651272
BOL	4.262680054	5.639999866	7.929999828	1	0	0	0.188899994	0	0	0	0	30.00000191	1	1	NA	NA	93.25	4.535284042	56.5	4.034240723	4.262680054	4.034240723	0	0.00165	0	93.25	4.535284042	NA	NA
BRA	4.262680054	7.909999847	8.729999542	1	0	0	0.111100003	0	0	0	0	55	1	1	15.06999969	2.712706089	30.5	3.417726755	56.5	4.034240723	4.262680054	4.034240723	0	0.035999998	0	30.5	3.417726755	15.06999969	2.712706089
CAN	2.778819323	9.729999542	9.989999771	0	1	0	0.666700006	1	0	0	0	98	0	0	16.10000038	2.778819323	16.10000038	2.778819323	16.10000038	2.778819323	2.778819323	2.778819323	0	0	0	16.10000038	2.778819323	16.10000038	2.778819323
CHL	4.232656002	7.820000172	9.340000153	1	0	0	0.333299994	0	0	0	0	50	1	1	15.06999969	2.712706089	30.5	3.417726755	56.5	4.034240723	4.232656002	4.034240723	0	0	0	30.5	3.417726755	15.06999969	2.712706089
CIV	6.504288197	7	7.440000057	1	0	0	0.0889	0	0	1	0	0	1	1	668	6.504288197	668	6.504288197	668	6.504288197	5.52146101	5.52146101	1	0.949999988	1	250	5.52146101	250	5.52146101
CMR	5.634789467	6.449999809	7.5	1	0	0	0.066699997	0	0	1	0	0	1	1	280	5.634789467	280	5.634789467	280	5.634789467	5.52146101	5.52146101	1	0.949999988	1	250	5.52146101	250	5.52146101
COG	5.480638981	4.679999828	7.420000076	0	1	1	0.0111	0	0	1	0	0	0	0	240	5.480638981	240	5.480638981	240	5.480638981	5.480638981	5.480638981	1	0.949999988	0	240	5.480638981	240	5.480638981
COL	4.262680054	7.320000172	8.81000042	1	0	0	0.044399999	0	0	0	0	25	1	1	NA	NA	93.25	4.535284042	56.5	4.034240723	4.262680054	4.034240723	0	0.146370009	0	93.25	4.535284042	NA	NA
