ADDRESS,AGE,DEBT,DEFAULT,DTI,EDUCATION,EMPLOY,INCOME
12,41,16.368,1,9.3,1,17,176
6,27,5.363,0,17.3,0,10,31
14,40,3.025,0,5.5,0,15,55
14,41,3.48,0,2.9,0,15,120
0,24,4.844,1,17.3,0,2,28
5,41,2.55,0,10.2,0,5,25
9,39,20.502,0,30.6,0,20,67
11,43,1.368,0,3.6,0,12,38
4,24,4.636,1,24.4,0,3,19
13,36,4.925,0,19.7,0,0,25
1,27,0.272,0,1.7,0,0,16
0,25,1.196,0,5.2,0,4,23
14,52,6.4,0,10,0,24,64
9,37,4.727,0,16.3,0,6,29
15,48,9.1,0,9.1,0,22,100
6,36,4.214,1,8.6,0,9,49
6,36,6.724,1,16.4,0,13,41
19,43,5.472,0,7.6,0,23,72
9,39,3.477,0,5.7,0,6,61
21,41,0.442,0,1.7,1,0,26
3,39,1.664,0,3.2,0,22,52
21,47,2.408,0,5.6,0,17,43
6,28,2.6,0,10,0,3,26
6,29,2.646,0,9.8,0,8,27
2,21,2.88,1,18,0,1,16
2,25,5.632,0,17.6,1,0,32
26,45,4.623,0,6.7,0,9,69
21,43,10.688,0,16.7,0,25,64
8,33,10.672,0,18.4,0,12,58
1,26,5.254,0,14.2,1,2,37
15,45,0.42,0,2.1,0,3,20
10,30,2.31,0,10.5,0,1,22
7,27,1.56,0,6,1,2,26
4,25,3.888,0,14.4,0,8,27
1,25,1.015,0,2.9,0,8,35
7,26,11.7,0,26,0,6,45
4,30,3.542,0,16.1,0,10,22
1,32,7.776,0,14.4,0,12,54
8,28,4.104,1,17.1,0,1,24
5,45,2.1,0,4.2,0,23,50
2,23,2.046,0,6.6,0,7,31
3,34,4.72,0,8,0,17,59
23,42,1.886,0,4.6,0,7,41
5,39,6.288,0,13.1,0,19,48
0,26,1.05,1,7.5,0,0,14
1,21,1.088,0,6.8,0,0,16
15,35,1.575,0,4.5,0,13,35
2,47,2.704,0,10.4,0,4,26
2,23,2.394,1,11.4,0,0,21
2,35,3.108,0,7.4,0,18,42
11,34,3.15,1,12.6,0,2,25
12,46,2.8,0,14,0,1,20
18,46,6.708,1,12.9,0,16,52
18,38,0.925,0,3.7,1,3,25
2,40,2.66,0,9.5,0,3,28
3,37,3.624,1,15.1,0,1,24
1,35,1.7,0,5,0,9,34
13,39,1.656,0,2.4,0,16,69
6,40,2.5,0,2.5,1,18,100
20,50,9.76,0,12.2,1,10,80
10,31,0.672,0,2.4,0,9,28
1,29,3.108,1,7.4,0,13,42
0,37,2.852,0,12.4,0,4,23
9,33,3.85,0,7,0,4,55
7,26,2.184,0,7.8,0,5,28
6,32,17.475,1,23.3,0,11,75
3,28,1.472,1,6.4,0,2,23
8,39,4.186,0,9.1,0,19,46
3,28,2.542,1,8.2,0,8,31
2,29,3.72,1,18.6,0,1,20
8,34,4.851,0,23.1,0,3,21
9,28,8.092,0,23.8,0,5,34
21,47,12.8,0,12.8,0,26,100
5,43,2.756,0,10.6,1,1,26
10,41,0.748,0,1.7,0,13,44
25,47,12.138,0,23.8,0,13,51
1,24,0.126,0,0.6,0,2,21
9,29,1.139,0,6.7,0,1,17
2,33,0.962,0,2.6,0,14,37
10,36,1.248,0,3.2,0,15,39
3,26,2.835,1,10.5,0,4,27
12,31,7.65,0,17,0,11,45
3,37,6.272,0,19.6,0,7,32
16,35,3.19,0,11,1,4,29
3,26,1.08,0,5.4,0,4,20
15,40,8.46,0,18.8,0,10,45
4,29,4.464,1,12.4,0,5,36
17,37,7.134,0,24.6,1,5,29
12,32,0.812,0,2.9,0,12,28
1,23,4.709,1,27.7,0,0,17
10,32,1.426,0,6.2,0,3,23
6,25,1.71,1,11.4,0,1,15
5,38,5.724,0,10.6,0,5,54
6,32,1.044,1,5.8,0,0,18
0,41,3.945,1,26.3,1,2,15
6,36,2.376,0,4.4,0,17,54
0,42,2.706,0,3.3,1,13,82
8,41,3.796,0,7.3,0,14,52
9,29,1.197,0,6.3,0,4,19
6,38,2.883,1,9.3,1,4,31
9,39,2.938,0,2.6,0,22,113
9,36,2.158,0,8.3,0,6,26
7,33,1.566,0,5.8,0,8,27
11,42,3.751,0,3.1,0,21,121
17,41,17.7,0,23.6,0,22,75
17,40,1.008,0,3.6,0,8,28
18,53,5.6,1,11.2,0,9,50
7,28,3.51,0,13.5,0,4,26
13,36,4.74,0,7.9,0,12,60
13,34,4.545,0,10.1,0,9,45
5,45,1.911,0,4.9,1,2,39
0,38,3.649,0,8.9,0,6,41
2,21,1.848,0,7.7,1,0,24
11,42,10.914,0,21.4,0,12,51
25,52,5.504,0,8.6,0,16,64
6,25,1.716,0,5.2,0,4,33
9,34,4.03,0,6.2,0,9,65
16,40,2.482,0,3.4,0,15,73
4,31,3.456,1,12.8,0,0,27
0,25,1.34,1,6.7,0,1,20
19,45,3.515,0,9.5,0,12,37
0,23,1.596,1,8.4,0,3,19
3,34,9.531,1,35.3,1,6,27
4,31,2.794,1,12.7,0,2,22
9,28,0.616,0,2.8,0,5,22
11,41,1.892,0,4.4,0,7,43
2,39,8.84,1,13,0,7,68
3,29,0.504,0,1.4,0,9,36
1,21,2.25,0,9,0,5,25
2,41,3.944,0,5.8,0,19,68
7,26,0.783,0,2.9,1,1,27
10,33,2.322,0,12.9,0,5,18
19,45,6.09,0,17.4,0,18,35
20,39,8.22,0,13.7,0,17,60
2,24,1.323,0,6.3,0,7,21
7,29,1.254,0,2.2,0,6,57
0,27,2.852,0,12.4,0,1,23
2,40,1.652,0,5.9,0,13,28
10,29,1.608,0,6.7,0,8,24
3,29,2.442,1,6.6,0,4,37
2,24,2.56,1,16,0,0,16
6,27,8.01,1,17.8,0,9,45
22,41,5.94,0,4.4,1,16,135
8,31,2.275,0,9.1,0,11,25
17,41,3.672,0,5.4,0,16,68
3,42,1.394,0,3.4,0,5,41
3,28,3.224,0,12.4,1,1,26
8,30,2.5,0,10,1,2,25
1,30,2.772,0,8.4,0,11,33
4,31,3.52,0,8,0,8,44
14,45,9.231,0,18.1,0,15,51
23,43,4.636,1,6.1,0,13,76
10,36,3.749,0,16.3,0,4,23
6,28,2.16,0,7.2,0,8,30
5,27,4.356,0,13.2,0,3,33
3,36,7.488,0,19.2,1,13,39
11,33,3.616,0,11.3,0,12,32
2,54,4.144,1,14.8,0,9,28
4,33,4.002,1,13.8,0,9,29
5,31,1.17,0,4.5,0,9,26
0,21,2.314,0,8.9,0,4,26
9,28,3.828,0,8.7,1,5,44
1,31,1.768,1,6.8,0,2,26
6,32,1.066,0,4.1,0,8,26
8,35,3,1,12.5,0,1,24
11,40,19.278,1,18.9,0,13,102
2,22,3.744,1,15.6,0,4,24
9,39,2.47,0,6.5,0,4,38
3,41,0.748,0,1.7,1,14,44
9,34,3.16,0,4,0,16,79
9,29,2.134,0,9.7,0,7,22
10,31,3.164,0,11.3,0,4,28
0,32,0.96,1,4.8,0,1,20
7,32,6.424,0,8.8,0,14,73
14,33,1.575,0,7.5,0,6,21
0,26,2.266,0,10.3,0,6,22
1,21,3.114,0,17.3,0,1,18
2,28,2.38,0,7,0,7,34
5,37,2.136,0,8.9,0,13,24
14,33,8.015,1,22.9,0,2,35
10,39,2.3,0,5,0,12,46
19,40,3.192,0,5.6,0,8,57
21,45,2.4,0,3,1,16,80
6,27,2.21,0,6.5,0,10,34
7,28,7.018,0,24.2,1,0,29
9,39,2.16,0,8,0,13,27
21,40,6.45,1,15,0,14,43
8,27,9.464,0,16.9,0,11,56
4,36,1.488,0,9.3,0,1,16
2,55,12.168,0,15.6,0,19,78
3,27,2.904,1,13.2,0,4,22
8,30,1.87,0,11,0,1,17
0,36,3.136,1,11.2,0,10,28
6,31,0.525,1,2.5,0,1,21
2,33,2.88,0,7.2,0,13,40
0,30,1.386,0,4.2,0,4,33
0,24,1.062,1,5.9,0,1,18
10,33,1.204,0,4.3,1,9,28
27,50,3.243,0,6.9,0,8,47
6,31,7.392,1,23.1,0,6,32
7,28,0.779,0,4.1,0,3,19
10,44,5.368,1,6.1,1,8,88
23,48,4.41,0,9.8,1,3,45
17,36,2.91,0,9.7,0,0,30
1,29,3.465,0,5.5,1,7,63
11,40,6.96,0,6,1,17,116
6,33,1.56,0,6,0,7,26
6,26,0.3,0,1,0,6,30
11,36,5.832,0,7.2,0,14,81
0,26,0.665,0,1.9,0,6,35
6,40,14.036,0,12.1,1,16,116
3,44,4.32,1,9,0,5,48
10,29,1.35,0,4.5,1,1,30
3,35,1.998,1,5.4,1,5,37
3,34,7.8,0,10.4,0,16,75
8,34,3.149,0,6.7,1,12,47
25,46,3.57,0,10.2,0,14,35
22,41,17.69,0,12.2,0,21,145
8,27,1.2,1,4,0,7,30
6,27,5.6,1,8,1,0,70
6,28,0.576,0,2.4,0,11,24
27,48,2.052,0,10.8,1,0,19
26,48,13.56,0,12,1,17,113
6,29,13.93,1,19.9,1,5,70
5,43,12.24,1,20.4,0,9,60
2,23,1.343,0,7.9,0,5,17
8,29,7.964,0,18.1,0,10,44
6,40,1.425,0,1.9,1,5,75
3,22,1.12,0,5.6,0,0,20
3,23,3.168,0,14.4,0,7,22
10,46,9.18,0,15.3,1,9,60
11,55,3.2,1,8,0,3,40
16,38,0.228,0,0.6,0,8,38
1,35,0.924,0,2.8,0,5,33
9,30,0.243,0,0.9,0,11,27
0,24,1.17,0,6.5,0,7,18
3,26,2.66,0,9.5,0,4,28
11,32,1.365,1,9.1,0,2,15
4,37,2.625,0,3.5,0,11,75
19,39,8.358,1,19.9,0,6,42
4,30,3.843,0,18.3,0,4,21
11,30,3.705,0,9.5,0,10,39
10,32,1.376,0,4.3,0,7,32
20,54,16.992,0,14.4,1,21,118
4,27,4.655,0,13.3,1,3,35
4,31,7.347,0,23.7,0,12,31
16,39,0.702,0,1.8,0,15,39
